📺央视,#genre#
CCTV-1 综合,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?Contentid=1000000001000021973&livemode=1&stbId=3&channel-id=ystenlive$易视腾
CCTV-1 综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1 综合,http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1 综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8?$移动超清1080P
CCTV-1 综合,http://39.134.193.100:6610/030000001001/hdcctv01/1.m3u8?
CCTV-1 综合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com?$移动超清1080P
CCTV-1 综合,http://39.134.66.4:80/PLTV/88888888/224/3221225816/index.m3u8?$移动超清1080P
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225573/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1 综合,rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV-1 综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1 综合,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1 综合,http://39.134.65.183/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://39.134.65.181/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1 综合,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1 综合,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV-2 财经,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000012442/1.m3u8?Contentid=1000000001000012442&livemode=1&stbId=3&channel-id=ystenlive$易视腾
CCTV-2 财经,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-2 财经,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2 财经,http://111.63.117.13:6060/030000001000/G_CCTV-2/G_CCTV-2.m3u8
CCTV-2 财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8?$移动超清1080P
CCTV-2 财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com?$移动超清1080P
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225572/index.m3u8?fmt=ts2hls
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
