📡央视频道[V4],#genre#
CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV2,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV3,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV4,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV5,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV5+,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV6,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV7,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV8,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV9,http://ygbh666.cn/aikmigu.php?id=cctv9
CCTV10,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV11,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV12,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV13,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV14,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV15,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV17,http://ygbh666.cn/aikmigu.php?id=cctv17

CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV2,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV3,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV4,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV4欧洲,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV4美洲,http://ygbh666.cn/aikmigu.php?id=cctv4a
CCTV5,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV5+,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV6,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV7,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV8,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV9,http://ygbh666.cn/aikmigu.php?id=cctv9
CCTV10,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV11,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV12,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV13,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV14,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV15,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV17,http://ygbh666.cn/aikmigu.php?id=cctv17
CCTV1,http://182.104.192.98:8180/TV00000000000000000047@HHZT
CCTV2,http://182.104.192.98:8180/TV00000000000000000048@HHZT
CCTV3,http://182.104.192.98:8180/TV00000000000000000009@HHZT
CCTV4,http://182.104.192.98:8180/TV00000000000000000026@HHZT
CCTV5,http://182.104.192.98:8180/TV00000000000000000010@HHZT
CCTV5+,http://182.104.192.98:8180/TV00000000000000000011@HHZT
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7,http://182.104.192.98:8180/TV00000000000000000013@HHZT
CCTV8,http://182.104.192.98:8180/TV00000000000000000014@HHZT
CCTV9,http://182.104.192.98:8180/TV00000000000000000015@HHZT
CCTV10,http://117.114.153.18:8180/TV00000000000000000143@HHZT
CCTV11,http://117.114.153.18:8180/TV00000000000000000002@HHZT
CCTV12,http://182.104.192.98:8180/TV00000000000000000016@HHZT
CCTV13,http://182.104.192.98:8180/TV00000000000000000040@HHZT
CCTV14,http://182.104.192.98:8180/TV00000000000000000025@HHZT
CCTV15,http://182.104.192.98:8180/TV00000000000000000005@HHZT
CCTV16,http://117.114.153.18:8180/TV00000000000000000136@HHZT
CCTV17,http://182.104.192.98:8180/TV00000000000000000001@HHZT
CGTN英语,http://182.104.192.98:8180/TV00000000000000000041@HHZT
世界地理,http://182.104.192.98:8180/TV00000000000000000044@HHZT
兵器科技,http://182.104.192.98:8180/TV00000000000000000032@HHZT
怀旧剧场,http://182.104.192.98:8180/TV00000000000000000046@HHZT
风云足球,http://182.104.192.98:8180/TV00000000000000000045@HHZT
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
劲爆体育,http://182.104.192.98:8180/TV00000000000000000002@HHZT
影迷电影,http://117.114.153.18:8180/TV00000000000000000094@HHZT

CCTV1,http://119.135.1.16:6699/live/1001/index.m3u8
