河南组播,#genre#
CCTV1,rtp://239.16.10.1:2000
CCTV2,rtp://239.16.10.127:2000
CCTV3,rtp://239.16.10.2:2000
CCTV4,rtp://239.16.10.128:2000
CCTV5,rtp://239.16.10.132:2000
CCTV6,rtp://239.16.10.101:2000
CCTV7,rtp://239.16.10.130:2000
CCTV8,rtp://239.16.10.102:2000
CCTV9,rtp://239.16.10.103:2000
CCTV10,rtp://239.16.10.108:2000
CCTV11,rtp://239.16.10.109:2000
CCTV12,rtp://239.16.10.110:2000
CCTV13,rtp://239.16.10.111:2000
CCTV14,rtp://239.16.10.112:2000
CCTV15,rtp://239.16.10.113:2000
CCTV17,rtp://239.16.10.129:2000
CCTV5+,rtp://239.16.10.3:2000
CETV,rtp://239.16.10.12:2000
河南移动，rtp://239.16.10.79:2000
河南都市,rtp://239.16.10.120:2000
民生频道,rtp://239.16.10.121:2000
法制频道,rtp://239.16.10.122:2000
电视剧频道,rtp://239.16.10.123:2000
移动戏曲,rtp://239.16.10.76:2000
河南戏曲,rtp://239.16.10.148:2000
美食汇,rtp://239.16.10.185:2000
河南卫视,rtp://239.16.10.119:2000
浙江卫视,rtp://239.16.10.5:2000
东方卫视,rtp://239.16.10.7:2000
江苏卫视,rtp://239.16.10.8:2000
北京卫视,rtp://239.16.10.10:2000
广东卫视,rtp://239.16.10.104:2000
黑龙江卫视,rtp://239.16.10.105:2000
山东卫视,rtp://239.16.10.14:2000
安徽卫视,rtp://239.16.10.9:2000
辽宁卫视,rtp://239.16.10.29:2000
陕西卫视,rtp://239.16.10.17:2000
贵州卫视,rtp://239.16.10.15:2000
河北卫视,rtp://239.16.10.22:2000
江西卫视,rtp://239.16.10.23:2000
湖南卫视,rtp://239.16.10.6:2000
深圳卫视,rtp://239.16.10.11:2000
四川卫视,rtp://239.16.10.20:2000
湖北卫视,rtp://239.16.10.21:2000
天津卫视,rtp://239.16.10.30:2000
云南卫视,rtp://239.16.10.19:2000
重庆卫视,rtp://239.16.10.13:2000
吉林卫视,rtp://239.16.10.28:2000
宁夏卫视,rtp://239.16.10.26:2000
东南卫视,rtp://239.16.10.16:2000
内蒙古卫视,rtp://239.16.10.25:2000
广西卫视,rtp://239.16.10.18:2000
陕西卫视,rtp://239.16.10.24:2000
海南卫视,rtp://239.16.10.43:2000
甘肃卫视,rtp://239.16.10.114:2000
青海卫视,rtp://239.16.10.107:2000
金鹰卡通,rtp://239.16.10.115:2000
嘉佳卡通,rtp://239.16.10.118:2000
卡酷少儿,rtp://239.16.10.116:2000
哈哈炫动,rtp://239.16.10.117:2000
新疆卫视,rtp://239.16.10.27:2000
西藏卫视,rtp://239.16.10.106:2000
优漫卡通,rtp://239.16.10.44:2000
都市剧场,rtp://239.16.10.232:2000
欢笑剧场,rtp://239.16.10.233:2000
动漫秀场,rtp://239.16.10.234:2000
游戏风云,rtp://239.16.10.241:2000
河南卫视4K,rtp://239.16.10.210:2000
